"count";"username";"datetime";"text"
"91";"lenkakashurina";"17:57:40 18-06-2021";"@kondrashovahelen"
"92";"lenkakashurina";"17:58:09 18-06-2021";"@mr.yefremov"
"93";"solane4ka";"17:58:10 18-06-2021";"@sana_struk"
"94";"lenkakashurina";"17:58:19 18-06-2021";"@nu_bakka_"
"95";"solane4ka";"17:58:27 18-06-2021";"@medvedill"
"96";"lenkakashurina";"17:58:37 18-06-2021";"@art_mouse_"
"97";"lenkakashurina";"17:58:43 18-06-2021";"@dubchik_av"
"98";"lenkakashurina";"17:58:55 18-06-2021";"@mariya_onu"
"99";"lenkakashurina";"17:59:02 18-06-2021";"@valenti.gr"
"100";"lenkakashurina";"17:59:10 18-06-2021";"@kristiktishchenko"
"101";"lenkakashurina";"17:59:15 18-06-2021";"@gaivoronskaya_anya"
"102";"lenkakashurina";"17:59:22 18-06-2021";"@anuta_mirr"
"103";"lenkakashurina";"17:59:34 18-06-2021";"@annettee_k"
"104";"lenkakashurina";"17:59:42 18-06-2021";"@anna__khoma"
"105";"lenkakashurina";"17:59:50 18-06-2021";"@st_olenka"
"106";"lenkakashurina";"18:00:18 18-06-2021";"@nataltzaitseva"
"107";"lenkakashurina";"18:00:31 18-06-2021";"@kristina.gogiya"
"108";"lenkakashurina";"18:00:42 18-06-2021";"@___yul4ik___"
"109";"tan_sko";"18:01:03 18-06-2021";"@ihorbubniak"
"110";"cake_handmade_ua";"18:01:03 18-06-2021";"@evgeniy_shy"
"111";"cake_handmade_ua";"18:01:11 18-06-2021";"@myata_beauty_bar"
"112";"tan_sko";"18:01:16 18-06-2021";"@marinaminyk"
"113";"tan_sko";"18:01:22 18-06-2021";"@irinalipkova"
"114";"cake_handmade_ua";"18:01:40 18-06-2021";"@svekla_zlataya"
"115";"cake_handmade_ua";"18:01:50 18-06-2021";"@nadia__prihodko"
"116";"cake_handmade_ua";"18:02:07 18-06-2021";"@shinkova.l.n"
"117";"cake_handmade_ua";"18:02:15 18-06-2021";"@shynkovaya"
"118";"dem410";"18:02:26 18-06-2021";"@demkatte"
"119";"cake_handmade_ua";"18:02:30 18-06-2021";"@svetik.pyanyh"
"120";"dem410";"18:02:35 18-06-2021";"@demkatte_art"
"121";"cake_handmade_ua";"18:02:38 18-06-2021";"@wildabyss_depth"
"122";"cake_handmade_ua";"18:02:49 18-06-2021";"@m.margooo"
"123";"cake_handmade_ua";"18:03:13 18-06-2021";"@a.anaastasia"
"124";"yevgeniyabendera";"18:05:26 18-06-2021";"@yak.tetyana"
"125";"pashaproshchuk";"18:07:06 18-06-2021";"@diana.proshchuk"
"126";"pashaproshchuk";"18:07:15 18-06-2021";"@sonya_nakutna"
"127";"pashaproshchuk";"18:07:28 18-06-2021";"@khavylo_iryna"
"128";"tanyapanasiuk";"18:09:29 18-06-2021";"@ruslan_panasiuk"
"129";"alexryb";"18:12:35 18-06-2021";"@maryana__rybak"
"130";"alexryb";"18:12:43 18-06-2021";"@bondmister11"
"131";"alexryb";"18:12:50 18-06-2021";"@khilko__nataliia"
"132";"alexryb";"18:12:57 18-06-2021";"@l.zakordonets"
"133";"alexryb";"18:13:03 18-06-2021";"@nadiia.v.kh"
"134";"alexryb";"18:13:15 18-06-2021";"@erik.sogomonian"
"135";"zub.kate";"18:15:52 18-06-2021";"@egorzub"
"136";"zub.kate";"18:16:03 18-06-2021";"@kirnos.liudmila"
"137";"zub.kate";"18:16:20 18-06-2021";"@marta_pogo"
"138";"zub.kate";"18:16:38 18-06-2021";"@margetlove"
"139";"zub.kate";"18:16:55 18-06-2021";"@olegbeloversh"
"140";"zub.kate";"18:17:08 18-06-2021";"@traveldnacod"
"141";"zub.kate";"18:17:39 18-06-2021";"@kirnosevgen"
"142";"milaludmila1";"18:19:21 18-06-2021";"@okolokotov"
"143";"milaludmila1";"18:19:33 18-06-2021";"@yana.voskoboinyk"
"144";"milaludmila1";"18:19:45 18-06-2021";"@teaserok"
"145";"milaludmila1";"18:19:57 18-06-2021";"@bailomaksim"
"146";"milaludmila1";"18:20:04 18-06-2021";"@alinabailo"
"147";"milaludmila1";"18:20:09 18-06-2021";"@viktoria_vikysia"
"148";"milaludmila1";"18:20:18 18-06-2021";"@alyon_ko"
"149";"milaludmila1";"18:20:30 18-06-2021";"@tanusi4ka"
"150";"milaludmila1";"18:20:36 18-06-2021";"@a.demchenkoo"
"151";"milaludmila1";"18:20:49 18-06-2021";"@ksu_ksu1"
"152";"milaludmila1";"18:20:55 18-06-2021";"@katya_plnk"
"153";"vikki_panfilova";"18:21:05 18-06-2021";"@elen_redchits"
"154";"milaludmila1";"18:21:36 18-06-2021";"@alyona.haidai"
"155";"milaludmila1";"18:21:44 18-06-2021";"@taniagoriacheva_"
"156";"milaludmila1";"18:21:56 18-06-2021";"@myroslavakopievskaya"
"157";"milaludmila1";"18:22:16 18-06-2021";"@zhena_abramovycha"
"158";"milaludmila1";"18:22:20 18-06-2021";"@dontoccupy"
"159";"milaludmila1";"18:22:26 18-06-2021";"@tanya_razhykova"
"160";"milaludmila1";"18:22:32 18-06-2021";"@filonenko.iryna"
"161";"milaludmila1";"18:22:52 18-06-2021";"@svitlanalafazan"
"162";"milaludmila1";"18:22:57 18-06-2021";"@svirolga"
"163";"milaludmila1";"18:24:03 18-06-2021";"@julia_koroliuk"
"164";"kate.ihnatova";"18:29:35 18-06-2021";"@alena_chornoivan"
"165";"kate.ihnatova";"18:29:42 18-06-2021";"@kravchenko_alonka"
"166";"kate.ihnatova";"18:30:00 18-06-2021";"@mammyporsche"
"167";"kate.ihnatova";"18:30:20 18-06-2021";"@mari_holiday"
"168";"ireneush777";"18:33:05 18-06-2021";"@shershneva.lidia"
"169";"ireneush777";"18:33:18 18-06-2021";"@shtoltsvalentin"
"170";"viktoria_dudnyk_";"18:40:15 18-06-2021";"@tolyapoltavsky"
"171";"viktoria_dudnyk_";"18:40:19 18-06-2021";"@julia.linnik0309"
"172";"marusia__sergyivna";"18:44:39 18-06-2021";"@ksenia.tkh"
"173";"marusia__sergyivna";"18:44:43 18-06-2021";"@ponomarenkoanton93"
"174";"marusia__sergyivna";"18:44:53 18-06-2021";"@olenatokach"
"175";"marusia__sergyivna";"18:45:24 18-06-2021";"@_rostova_yuliia_"
"176";"marusia__sergyivna";"18:45:32 18-06-2021";"@_nick_rostov_"
"177";"natalakotova";"18:52:15 18-06-2021";"@2avram1337"
"178";"natalakotova";"18:52:22 18-06-2021";"@__kostya__kotov__"
"179";"_nelubina2_";"18:57:34 18-06-2021";"@__dosy__"
"180";"_nelubina2_";"18:57:43 18-06-2021";"@anetti.tim"
"181";"_nelubina2_";"18:57:49 18-06-2021";"@katerina.lchk"
"182";"_nelubina2_";"18:57:54 18-06-2021";"@robinzonsha"
"183";"_nelubina2_";"18:58:02 18-06-2021";"@daha.d"
"184";"_nelubina2_";"18:58:07 18-06-2021";"@warfolomeeva_svetik"
"185";"elenka.ak";"18:58:29 18-06-2021";"@zateyamariupol"
"186";"elenka.ak";"19:01:31 18-06-2021";"@irinka_goy"
"187";"kosminskayanatali";"19:01:45 18-06-2021";"@kosminskiiandrei"
"188";"kosminskayanatali";"19:01:51 18-06-2021";"@__mrak____"
"189";"kosminskayanatali";"19:01:56 18-06-2021";"@nataly802"
"190";"kosminskayanatali";"19:02:10 18-06-2021";"@davidenko_oksana123"
"191";"kosminskayanatali";"19:02:27 18-06-2021";"@lenkamulatka"
"192";"kosminskiiandrei";"19:03:54 18-06-2021";"@kosminskayanatali"
"193";"kosminskiiandrei";"19:04:01 18-06-2021";"@__mrak____"
"194";"kosminskiiandrei";"19:04:09 18-06-2021";"@davidenko_oksana123"
"195";"d.v.daria";"19:06:12 18-06-2021";"@tanyapanasiuk"
"196";"d.v.daria";"19:06:20 18-06-2021";"@vladi.positive"
"197";"d.v.daria";"19:06:27 18-06-2021";"@sashapogulyay"
"198";"d.v.daria";"19:06:33 18-06-2021";"@maria_sychynska"
"199";"d.v.daria";"19:06:40 18-06-2021";"@pustovit"
"200";"nu_bakka_";"19:15:49 18-06-2021";"@bakkalinskiiandrii"
"201";"nu_bakka_";"19:15:58 18-06-2021";"@lenkakashurina"
"202";"nu_bakka_";"19:16:05 18-06-2021";"@darinka_shpilka"
"203";"nu_bakka_";"19:16:33 18-06-2021";"@irpen_garagesale_anna"
"204";"gliceriya";"19:16:48 18-06-2021";"@iliaostrovskii2 ❤️❤️❤️"
"205";"gliceriya";"19:16:58 18-06-2021";"@ruslana_kr ❤️❤️❤️"
"206";"lvl.karina";"19:22:17 18-06-2021";"@r2l343434343434"
"207";"lvl.karina";"19:22:44 18-06-2021";"@katesergienko7356"
"208";"lvl.karina";"19:23:10 18-06-2021";"@svetlana__grytsak"
"209";"mayorenko_yana";"19:26:50 18-06-2021";"@svitlana_skaba"
"210";"svitlana_skaba";"19:38:16 18-06-2021";"@mayorenko_yana"
"211";"dubchik_av";"20:02:37 18-06-2021";"@art_mouse_"
"212";"dubchik_av";"20:02:52 18-06-2021";"@slavikdub"
"213";"annetakas0707";"20:12:24 18-06-2021";"@igorkasprov"
"214";"annetakas0707";"20:12:34 18-06-2021";"@laurakanaykina"
"215";"alina_musievych";"20:20:38 18-06-2021";"@marina_ovchunnikova"
"216";"alina_musievych";"20:20:46 18-06-2021";"@maryna_gumenna"
"217";"alina_musievych";"20:21:03 18-06-2021";"@mari_hairstylist"
"218";"alina_musievych";"20:21:10 18-06-2021";"@galushchenko_tatiana"
"219";"alina_musievych";"20:21:31 18-06-2021";"@viktoriya_and_ameli"
"220";"alina_musievych";"20:21:39 18-06-2021";"@vit_natali"
"221";"alina_musievych";"20:21:49 18-06-2021";"@lera.deshko"
"222";"alina_musievych";"20:21:54 18-06-2021";"@kill007hunter"
"223";"alina_musievych";"20:22:03 18-06-2021";"@nadya.mescheryakova"
"224";"alina_musievych";"20:22:09 18-06-2021";"@natalia_onopko"
"225";"marianna_ka5";"20:22:14 18-06-2021";"@serg_sergey"
"226";"alina_musievych";"20:22:14 18-06-2021";"@natali.klivak"
"227";"marianna_ka5";"20:22:16 18-06-2021";"@dodukh777ylia"
"228";"marianna_ka5";"20:22:22 18-06-2021";"@diromana"
"229";"marianna_ka5";"20:22:29 18-06-2021";"@dose_of_reality__"
"230";"marianna_ka5";"20:22:40 18-06-2021";"@doroshenko6771"
"231";"marianna_ka5";"20:22:43 18-06-2021";"@broslavets.d"
"232";"alina_musievych";"20:22:44 18-06-2021";"@iuliiadaniuk"
"233";"mariiakurylo";"20:42:27 18-06-2021";"@marta_ivanko"
"234";"mariiakurylo";"20:42:58 18-06-2021";"@lyuda_pylypyshyn"
"235";"kovalskacake";"20:52:08 18-06-2021";"@irren_photo"
"236";"kovalskacake";"20:52:50 18-06-2021";"@seredulia"
"237";"kovalskacake";"20:52:57 18-06-2021";"@virchuk"
"238";"kovalskacake";"20:53:04 18-06-2021";"@natuliakovalskaia"
"239";"kovalskacake";"20:53:17 18-06-2021";"@anna_trener"
"240";"kovalskacake";"20:53:24 18-06-2021";"@dushevnui_zatushok"
"241";"kovalskacake";"20:53:36 18-06-2021";"@irinatulchii"
"242";"kovalskacake";"20:53:44 18-06-2021";"@chornat13"
"243";"kovalskacake";"20:53:59 18-06-2021";"@lystyuknina"
"244";"irren_photo";"21:08:52 18-06-2021";"@chornat13"
"245";"irren_photo";"21:08:58 18-06-2021";"@lystyuknina"
"246";"irren_photo";"21:09:05 18-06-2021";"@ivan__pashchenko"
"247";"irren_photo";"21:09:12 18-06-2021";"@kovalskacake"
"248";"mariana_bilan_";"21:13:25 18-06-2021";"@valentinazybalova"
"249";"mariana_bilan_";"21:13:37 18-06-2021";"@ella.drey"
"250";"mariana_bilan_";"21:14:01 18-06-2021";"@_akimok_"
"251";"mariana_bilan_";"21:14:09 18-06-2021";"@vlad_vishnevskiy_oficial"
"252";"mariana_bilan_";"21:14:45 18-06-2021";"@crmlboy"
"253";"chornat13";"21:22:02 18-06-2021";"@irren_photo"
"254";"anastasiiapro_bro";"21:33:30 18-06-2021";"@sngrigor"
"255";"anastasiiapro_bro";"21:33:41 18-06-2021";"@inna_k_drobot"
"256";"anastasiiapro_bro";"21:33:52 18-06-2021";"@juliya_gluschenko"
"257";"anastasiiapro_bro";"21:34:09 18-06-2021";"@barnasuliana"
"258";"anastasiiapro_bro";"21:34:35 18-06-2021";"@ziellochka"
"259";"anastasiiapro_bro";"21:34:48 18-06-2021";"@annanizhnik25"
"260";"anastasiiapro_bro";"21:35:08 18-06-2021";"@vvita.olegovna"
"261";"anastasiiapro_bro";"21:35:21 18-06-2021";"@dmitriy.shakirzyanov"
"262";"vikagintova";"22:05:25 18-06-2021";"@radionov.v.s"
"263";"radionov.v.s";"22:10:28 18-06-2021";"@vikagintova"
"264";"viktoria_vikysia";"22:37:25 18-06-2021";"@ketrinlaskava"
"265";"viktoria_vikysia";"22:37:32 18-06-2021";"@yevheniya.kuzub"
"266";"viktoria_vikysia";"22:37:40 18-06-2021";"@pozdniakov._._"
"267";"viktoria_vikysia";"22:37:49 18-06-2021";"@alesia____k"
"268";"viktoria_vikysia";"22:37:58 18-06-2021";"@nata_torohtiy"
"269";"viktoria_vikysia";"22:38:10 18-06-2021";"@nata_jerryx"
"270";"viktoria_vikysia";"22:38:21 18-06-2021";"@tatiana_laskava"
"271";"viktoria_vikysia";"22:38:29 18-06-2021";"@dasha_duka"
"272";"viktoria_vikysia";"22:38:47 18-06-2021";"@anna_nails_irpen"
"273";"viktoria_vikysia";"22:38:55 18-06-2021";"@horshevai"
"274";"viktoria_vikysia";"22:39:26 18-06-2021";"@ira___chamara95"
"275";"viktoria_vikysia";"22:39:33 18-06-2021";"@iren_131309"
"276";"viktoria_vikysia";"22:39:41 18-06-2021";"@irinalymanets"
"277";"viktoria_vikysia";"22:39:50 18-06-2021";"@irapoteraylo"
"278";"viktoria_vikysia";"22:40:00 18-06-2021";"@victoria_yushchenko"
"279";"viktoria_vikysia";"22:40:12 18-06-2021";"@_.tanichka.a_"
"280";"viktoria_vikysia";"22:42:30 18-06-2021";"@milaludmila1"
"281";"viktoria_vikysia";"22:42:41 18-06-2021";"@solomiablack"
"282";"viktoria_vikysia";"22:42:48 18-06-2021";"@yalga_coach"
"283";"viktoria_vikysia";"22:42:53 18-06-2021";"@yaroslavaaaaaaa__"
"284";"ksenon257";"22:42:57 18-06-2021";"Люблю кухню Грузии!🤗"
"285";"ksenon257";"22:47:43 18-06-2021";"@kavitskiy"
