"count";"username";"datetime";"text"
"86";"katerina_voichuk";"16:37:55 17-07-2021";"@oleg__voichuk"
"87";"alona.leelar";"16:37:56 17-07-2021";"@v_slobod"
"88";"yulianna2875";"16:38:00 17-07-2021";"@olola9781"
"89";"yulia_pylypenko82";"16:38:00 17-07-2021";"@dr.nejhinskaja @sibunna"
"90";"katerina_voichuk";"16:38:06 17-07-2021";"@liliya.lysenk0"
"91";"yulianna2875";"16:38:07 17-07-2021";"@ira.maiboroda"
"92";"katerina_voichuk";"16:38:15 17-07-2021";"@dasha.andreiko"
"93";"yulianna2875";"16:38:17 17-07-2021";"@irinahomusiak"
"94";"v_kukhar05";"16:38:20 17-07-2021";"@dasha_komarova @valerakomarova"
"95";"ivan_semyda";"16:38:22 17-07-2021";"@semida_yana"
"96";"ivan_semyda";"16:38:26 17-07-2021";"@iriina_niikolaevna"
"97";"ivan_semyda";"16:38:32 17-07-2021";"@_s_bodia__"
"98";"katerina_voichuk";"16:38:32 17-07-2021";"@margaritamakarenko_"
"99";"danyamira";"16:38:33 17-07-2021";"@penditnaya"
"100";"ivan_semyda";"16:38:40 17-07-2021";"@seryozhapanchenko"
"101";"sun.ya__";"16:38:43 17-07-2021";"@sofia_9_7_7"
"102";"katerina_voichuk";"16:38:46 17-07-2021";"@polina_makarenko01"
"103";"sun.ya__";"16:38:49 17-07-2021";"@_sofia_privat_977"
"104";"sun.ya__";"16:38:55 17-07-2021";"@k8k_my"
"105";"svetlana_2v2";"16:38:56 17-07-2021";"@voncovich"
"106";"ivan_semyda";"16:38:58 17-07-2021";"@syanka_gol"
"107";"sun.ya__";"16:39:01 17-07-2021";"@nikita_manuilenko"
"108";"yulianna2875";"16:39:02 17-07-2021";"@tatyana_maiboroda"
"109";"katerina_voichuk";"16:39:07 17-07-2021";"@marharyta_kolisnyk"
"110";"sun.ya__";"16:39:07 17-07-2021";"@nikitos.manuilenko"
"111";"yulianna2875";"16:39:08 17-07-2021";"@zinchenkoket"
"112";"yulianna2875";"16:39:14 17-07-2021";"@nellikopica"
"113";"danyamira";"16:39:14 17-07-2021";"@aladikk_aladikk"
"114";"sun.ya__";"16:39:16 17-07-2021";"@iksoxo"
"115";"yulianna2875";"16:39:23 17-07-2021";"@marina_kopica"
"116";"mrs.tymchenko";"16:39:33 17-07-2021";"@mr.tymchenko"
"117";"ivan_semyda";"16:39:43 17-07-2021";"@_s_bodia__"
"118";"alinkabokii";"16:39:45 17-07-2021";"@bokii_svetlana"
"119";"ivan_semyda";"16:39:49 17-07-2021";"@iriina_niikolaevna"
"120";"_.natatalya._";"16:39:49 17-07-2021";"@nat8"
"121";"ivan_semyda";"16:39:52 17-07-2021";"@semida_yana"
"122";"rita_teslenko";"16:39:57 17-07-2021";"@bobryshevamarina81"
"123";"rita_teslenko";"16:40:04 17-07-2021";"@bocheva_happiness"
"124";"alinkabokii";"16:40:06 17-07-2021";"@marinamorozova4688"
"125";"_gaydayalina_";"16:40:10 17-07-2021";"@24_tanuska_25_"
"126";"rita_teslenko";"16:40:10 17-07-2021";"@yana.bologova"
"127";"photo_retivova_victoria";"16:40:17 17-07-2021";"@anton_zimin"
"128";"shulikkhristina";"16:40:17 17-07-2021";"@ykoioii @kate_kmet09"
"129";"_gaydayalina_";"16:40:18 17-07-2021";"@yaroslavgorkyn"
"130";"rita_teslenko";"16:40:21 17-07-2021";"@uliya_teslenko1999"
"131";"_gaydayalina_";"16:40:22 17-07-2021";"@oksi4ka_13_"
"132";"yulianna2875";"16:40:23 17-07-2021";"@marina_kopica"
"133";"photo_retivova_victoria";"16:40:23 17-07-2021";"@lyevtushenko"
"134";"svetik_uhimenko";"16:40:24 17-07-2021";"@alenamalinovskaj"
"135";"_gaydayalina_";"16:40:24 17-07-2021";"@kagach_pasha"
"136";"_vikashev_";"16:40:24 17-07-2021";"@svoevremya_"
"137";"_gaydayalina_";"16:40:26 17-07-2021";"@pasha2.0.2.0"
"138";"_gaydayalina_";"16:40:29 17-07-2021";"@licorne.enchantee"
"139";"rita_teslenko";"16:40:29 17-07-2021";"@v_i_k_a6688"
"140";"nt.lf";"16:40:30 17-07-2021";"@alina_nkshn_"
"141";"martapetrishin";"16:40:32 17-07-2021";"@yurapetrysh"
"142";"_gaydayalina_";"16:40:33 17-07-2021";"@k.a.l.i.b_"
"143";"photo_retivova_victoria";"16:40:33 17-07-2021";"@lubimaya_yu"
"144";"_gaydayalina_";"16:40:36 17-07-2021";"@juliya_hamster"
"145";"photo_retivova_victoria";"16:40:38 17-07-2021";"@gashina85"
"146";"martapetrishin";"16:40:38 17-07-2021";"@oliusiaaa_"
"147";"nt.lf";"16:40:39 17-07-2021";"@v_tanya231"
"148";"_gaydayalina_";"16:40:39 17-07-2021";"@diana_khomenko_"
"149";"_gaydayalina_";"16:40:42 17-07-2021";"@sonya_aa"
"150";"svetik_uhimenko";"16:40:42 17-07-2021";"@birina_alisa"
"151";"_gaydayalina_";"16:40:44 17-07-2021";"@samsonov2436"
"152";"nt.lf";"16:40:46 17-07-2021";"@m.a.m.r.o.t.s.k.a.y.a"
"153";"julietta_ivc";"16:40:49 17-07-2021";"@oksusha_rom"
"154";"_vikashev_";"16:40:51 17-07-2021";"@pokemonlona73"
"155";"rita_teslenko";"16:40:52 17-07-2021";"@oksanagr30"
"156";"_gaydayalina_";"16:40:57 17-07-2021";"@_sk.aleksandrovna_"
"157";"nastena_dyomina";"16:40:58 17-07-2021";"@out_lost_"
"158";"_gaydayalina_";"16:41:04 17-07-2021";"@bilyy_____"
"159";"nastena_dyomina";"16:41:05 17-07-2021";"@svatoyotetc"
"160";"_gaydayalina_";"16:41:06 17-07-2021";"@_vlad_14888"
"161";"_gaydayalina_";"16:41:08 17-07-2021";"@vladislav.slavniy"
"162";"julietta_ivc";"16:41:10 17-07-2021";"@ivchenko92"
"163";"nastena_dyomina";"16:41:11 17-07-2021";"@oxana_gaydaenko"
"164";"martapetrishin";"16:41:12 17-07-2021";"@travels.food_blog.lviv"
"165";"nastena_dyomina";"16:41:16 17-07-2021";"@poremska.t"
"166";"martapetrishin";"16:41:21 17-07-2021";"@_food.shop_lviv"
"167";"nastena_dyomina";"16:41:24 17-07-2021";"@ira.mosyichuk"
"168";"ianairza";"16:41:24 17-07-2021";"@tanya.yashchenko"
"169";"mdi5991";"16:41:26 17-07-2021";"@inesshevchenko"
"170";"ianairza";"16:41:31 17-07-2021";"@elenairza"
"171";"mdi5991";"16:41:32 17-07-2021";"@deinega264"
"172";"natali4ka_a";"16:41:35 17-07-2021";"@irayeremeychuk"
"173";"nastena_dyomina";"16:41:37 17-07-2021";"@anet1788"
"174";"julietta_ivc";"16:41:39 17-07-2021";"@ovn_valya"
